,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1669,2022-540,Wimbledon,Grass,128,G,20220627,225,106401,,,Nick Kyrgios,R,193,AUS,27.1,104745,2,,Rafael Nadal,L,185,ESP,36,W/O,5,SF,,,,,,,,,,,,,,,,,,,,40,1070,4,6525
1670,2022-540,Wimbledon,Grass,128,G,20220627,226,104925,1,,Novak Djokovic,R,188,SRB,35,106401,,,Nick Kyrgios,R,193,AUS,27.1,4-6 6-3 6-4 7-6(3),5,F,181,15,7,119,75,62,27,22,5,6,30,7,125,91,64,18,20,2,4,3,6770,40,1070
1719,2023-540,Wimbledon,Grass,128,G,20230703,224,207989,1,,Carlos Alcaraz,R,183,ESP,20.1,106421,3,,Daniil Medvedev,R,198,RUS,27.3,6-3 6-3 6-3,5,SF,110,4,3,79,56,41,13,14,2,4,5,4,80,47,33,10,13,8,14,1,7675,3,5890
1720,2023-540,Wimbledon,Grass,128,G,20230703,225,104925,2,,Novak Djokovic,R,188,SRB,36.1,206173,8,,Jannik Sinner,R,191,ITA,21.8,6-3 6-4 7-6(4),5,SF,167,11,0,112,65,49,28,17,6,6,8,3,90,54,41,20,15,7,9,2,7595,8,3345
1721,2023-540,Wimbledon,Grass,128,G,20230703,226,207989,1,,Carlos Alcaraz,R,183,ESP,20.1,104925,2,,Novak Djokovic,R,188,SRB,36.1,1-6 7-6(6) 6-1 3-6 6-4,5,F,283,9,7,150,94,66,28,22,10,15,2,3,184,118,73,37,24,14,19,1,7675,2,7595
1723,2024-540,Wimbledon,Grass,128,G,20240701,224,207989,3,,Carlos Alcaraz,R,183,ESP,21.1,106421,5,,Daniil Medvedev,R,198,RUS,28.3,6-7(1) 6-3 6-4 6-4,5,SF,175,6,2,113,64,47,30,21,0,3,5,6,131,90,59,22,20,9,15,3,8130,5,6445
1724,2024-540,Wimbledon,Grass,128,G,20240701,225,104925,2,,Novak Djokovic,R,188,SRB,37.1,207518,25,,Lorenzo Musetti,R,185,ITA,22.3,6-4 7-6(2) 6-4,5,SF,168,6,4,103,69,52,15,16,2,4,2,1,111,82,50,12,16,9,13,2,8360,25,1620
1725,2024-540,Wimbledon,Grass,128,G,20240701,226,207989,3,,Carlos Alcaraz,R,183,ESP,21.1,104925,2,,Novak Djokovic,R,188,SRB,37.1,6-2 6-2 7-6(4),5,F,147,5,6,95,56,47,20,14,2,3,8,4,101,71,47,12,14,9,14,3,8130,2,8360
,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2381,2000-540,Wimbledon,Grass,128,G,20000626,125,101948,1.0,,Pete Sampras,R,185.0,USA,28.8,103166,,Q,Vladimir Voltchkov,R,180.0,BLR,22.2,7-6(4) 6-2 6-4,5,SF,99.0,12.0,6.0,76.0,44.0,41.0,23.0,15.0,0.0,0.0,9.0,6.0,95.0,58.0,42.0,19.0,15.0,4.0,7.0,3.0,3261.0,237.0,140.0
